Title,Rated
Octopussy,PG
A Passage to India,PG
Star Trek VI: The Undiscovered Country,PG
Spy Kids: All the Time in the World in 4D,PG
The Right Stuff,PG
The NeverEnding Story,PG
Return to Oz,PG
Martian Child,PG
Paul Blart: Mall Cop,PG
Freaky Friday,PG
A Bridge Too Far,PG
Clockstoppers,PG
Agent Cody Banks 2: Destination London,PG
Flipper,PG
Scooby-Doo 2: Monsters Unleashed,PG
Bridge to Terabithia,PG
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,PG
Parental Guidance,PG
Finding Neverland,PG
Agent Cody Banks,PG
Nanny McPhee,PG
The Wild Thornberrys Movie,PG
Rugrats Go Wild,PG
The Sisterhood of the Traveling Pants,PG
Million Dollar Arm,PG
What a Girl Wants,PG
Song of the Sea,PG
Mr. Bean's Holiday,PG
August Rush,PG
Spice World,PG
Crocodile Dundee in Los Angeles,PG
Unaccompanied Minors,PG
The Greatest Game Ever Played,PG
Cirque du Soleil: Worlds Away,PG
Gettysburg,PG
Butch Cassidy and the Sundance Kid,PG
Sheena,PG
A Turtle's Tale: Sammy's Adventures,PG
The Adventurer: The Curse of the Midas Box,PG
Star Trek IV: The Voyage Home,PG
Rocky Balboa,PG
Footloose,PG
Return to Me,PG
Meet the Deedles,PG
The Bridge of San Luis Rey,PG
The Longshots,PG
Spaceballs,PG
The Santa Clause,PG
The Game Plan,PG
The Hundred-Foot Journey,PG
The Princess Bride,PG
Diary of a Wimpy Kid: Dog Days,PG
Shadowlands,PG
The Little Vampire,PG
Dudley Do-Right,PG
Underdogs,PG
Sorcerer,PG
Firefox,PG
Teenage Mutant Ninja Turtles III,PG
Beauty and the Beast,PG
Home Alone 2: Lost in New York,PG
Close Encounters of the Third Kind,PG
Jaws 2,PG
Beverly Hills Chihuahua,PG
Are We There Yet?,PG
The Truman Show,PG
Holes,PG
The Last Song,PG
Max,PG
The Black Hole,PG
Selena,PG
Gandhi,PG
You Again,PG
Nancy Drew,PG
Alpha and Omega,PG
Barry Lyndon,PG
Monte Carlo,PG
Shorts,PG
Rocky,PG
Under the Rainbow,PG
Simon Birch,PG
Annie Hall,PG
The Man Who Knew Too Little,PG
One Night with the King,PG
3 Ninjas Kick Back,PG
Chasing Mavericks,PG
Bandslam,PG
My All-American,PG
Can't Stop the Music,PG
The Game of Their Lives,PG
CJ7,PG
Dwegons and Leprechauns,PG
A Cinderella Story,PG
Sleuth,PG
Leap Year,PG
The Bounty,PG
Won't Back Down,PG
Big,PG
Star Trek III: The Search for Spock,PG
Diary of a Wimpy Kid: Rodrick Rules,PG
Soul Surfer,PG
Conan the Destroyer,PG
Fame,PG
Small Time Crooks,PG
Catch That Kid,PG
Groundhog Day,PG
The Legend of the Lone Ranger,PG
Troop Beverly Hills,PG
Dragonslayer,PG
Megaforce,PG
Mao's Last Dancer,PG
Strangers on a Train,PG
Hoodwinked!,PG
Black Nativity,PG
"McFarland, USA",PG
Good Boy!,PG
Superman IV: The Quest for Peace,PG
Bobby Jones: Stroke of Genius,PG
Roar,PG
Dragon Hunters,PG
Damnation Alley,PG
Sense and Sensibility,PG
Becoming Jane,PG
Jaws,PG
The Master of Disguise,PG
See Spot Run,PG
Zootopia,PG
Radio Days,PG
Meteor,PG
Madison,PG
Home Alone,PG
Top Gun,PG
Tootsie,PG
3 Men and a Baby,PG
Twins,PG
Young Frankenstein,PG
Beetlejuice,PG
Coal Miner's Daughter,PG
Diary of a Wimpy Kid,PG
Little Women,PG
Big Fat Liar,PG
The Lizzie McGuire Movie,PG
Dead Poets Society,PG
Because of Winn-Dixie,PG
When the Game Stands Tall,PG
Confessions of a Teenage Drama Queen,PG
High Noon,PG
The Remains of the Day,PG
Flicka,PG
Tuck Everlasting,PG
A Streetcar Named Desire,PG
New York Stories,PG
Raise Your Voice,PG
The Importance of Being Earnest,PG
Hoot,PG
Crocodile Dundee II,PG
Cool Runnings,PG
The Spy Who Loved Me,PG
White Fang,PG
Tea with Mussolini,PG
"New York, New York",PG
Flipped,PG
Caravans,PG
Wild Grass,PG
Miracles from Heaven,PG
Snow Day,PG
Earth to Echo,PG
Harriet the Spy,PG
The Astronaut Farmer,PG
Son of the Mask,PG
A Christmas Story,PG
The Crocodile Hunter: Collision Course,PG
The Perfect Game,PG
Ernest & Celestine,PG
Heaven Is for Real,PG
Star Trek II: The Wrath of Khan,PG
WarGames,PG
Yentl,PG
Time Bandits,PG
Katy Perry: Part of Me,PG
Prophecy,PG
Just Wright,PG
The Nightmare Before Christmas,PG
Aquamarine,PG
Max Keeble's Big Move,PG
Invaders from Mars,PG
The Pursuit of D.B. Cooper,PG
Duma,PG
Legend of Kung Fu Rabbit,PG
Dancin': It's On!,PG
Gremlins,PG
A Walk to Remember,PG
F.I.S.T.,PG
The Molly Maguires,PG
E.T. the Extra-Terrestrial,PG
The Blue Butterfly,PG
The Mighty Ducks,PG
Bill & Ted's Excellent Adventure,PG
Pete's Dragon,PG
The Second Best Exotic Marigold Hotel,PG
Twilight Zone: The Movie,PG
One Direction: This Is Us,PG
The Outsiders,PG
The Perfect Man,PG
Hey Arnold! The Movie,PG
Like Stars on Earth,PG
Sleepover,PG
Teacher's Pet,PG
Heartbeeps,PG
On the Line,PG
The House of Mirth,PG
Sphinx,PG
Nicholas Nickleby,PG
Shaolin Soccer,PG
Free Style,PG
Police Academy: Mission to Moscow,PG
You Only Live Twice,PG
Red Dog,PG
Thunderball,PG
The Ice Pirates,PG
Glee: The 3D Concert Movie,PG
Chasing Papi,PG
The Ultimate Gift,PG
Princess Kaiulani,PG
Opal Dream,PG
Barbarella,PG
Greater,PG
Andaz Apna Apna,PG
Shipwrecked,PG
Bright Star,PG
Splash,PG
Escape from Alcatraz,PG
Howards End,PG
Modern Problems,PG
On Her Majesty's Secret Service,PG
Jo Jeeta Wohi Sikandar,PG
Akeelah and the Bee,PG
New in Town,PG
Prom,PG
The Rocket,PG
Driving Miss Daisy,PG
The Work and the Glory,PG
Live and Let Die,PG
My Dog Skip,PG
"Good Night, and Good Luck.",PG
Logan's Run,PG
The Man with the Golden Gun,PG
Alien Zone,PG
Rabbit-Proof Fence,PG
The Other Side of Heaven,PG
A Dog of Flanders,PG
The Christmas Candle,PG
March or Die,PG
Snow Queen,PG
Adventures in Appletown,PG
Lagaan: Once Upon a Time in India,PG
The Four Seasons,PG
The Adventures of Huck Finn,PG
Daddy Day Camp,PG
The 5th Quarter,PG
The Great Train Robbery,PG
Julia,PG
A Shine of Rainbows,PG
Standing Ovation,PG
Chariots of Fire,PG
Somewhere in Time,PG
My Big Fat Greek Wedding,PG
The Man from Snowy River,PG
Lone Wolf McQuade,PG
The Beastmaster,PG
Moms' Night Out,PG
Digimon: The Movie,PG
Robin and Marian,PG
Force 10 from Navarone,PG
"Lovely, Still",PG
Christmas Eve,PG
Henry & Me,PG
Capricorn One,PG
Silent Movie,PG
R.L. Stine's Monsterville: The Cabinet of Souls,PG
The Front Page,PG
Topaz,PG
Mirrormask,PG
Shooting Fish,PG
The Perfect Wave,PG
Airplane!,PG
High Anxiety,PG
Waking Ned Devine,PG
Air Bud,PG
Spaced Invaders,PG
Family Plot,PG
Leonard Part 6,PG
Teen Wolf Too,PG
Days of Heaven,PG
Letters to God,PG
Love's Abiding Joy,PG
2016: Obama's America,PG
That Thing You Do!,PG
The Lunchbox,PG
The Lost Medallion: The Adventures of Billy Stone,PG
"Dancer, Texas Pop. 81",PG
From Russia with Love,PG
Sleeper,PG
In the Shadow of the Moon,PG
Meek's Cutoff,PG
Roadside Romeo,PG
The Dog Lover,PG
Against the Wild,PG
Conquest of the Planet of the Apes,PG
Grace Unplugged,PG
The Conversation,PG
Caramel,PG
Stolen Summer,PG
The Lion of Judah,PG
The Basket,PG
Airborne,PG
God's Not Dead 2,PG
Faith Like Potatoes,PG
An Inconvenient Truth,PG
Godzilla 2000,PG
"Food, Inc.",PG
Who Killed the Electric Car?,PG
Antarctica: A Year on Ice,PG
Proud,PG
A Fine Step,PG
Charly,PG
Time Changer,PG
American Graffiti,PG
Fireproof,PG
Kingdom of the Spiders,PG
Mad Hot Ballroom,PG
Wordplay,PG
The Singles Ward,PG
The R.M.,PG
The Californians,PG
Rodeo Girl,PG
Napoleon Dynamite,PG
I Want Your Money,PG
Trekkies,PG
Rust,PG
The Christmas Bunny,PG
Horse Camp,PG
Yesterday Was a Lie,PG
Facing the Giants,PG
The Lost Skeleton of Cadavra,PG
"Dude, Where's My Dog?!",PG
Super Size Me,PG
The Last Waltz,PG
My Date with Drew,PG
Track of the Moon Beast,PG
Zaat,PG
Spirited Away,PG
Your Name,PG
Children of Heaven,PG
Howl's Moving Castle,PG
Nausicaä of the Valley of the Wind,PG
In the Mood for Love,PG
Tangled,PG
Harry Potter and the Half-Blood Prince,PG
The Touch of Satan,PG
The Chronicles of Narnia: Prince Caspian,PG
Baby Geniuses,PG
Alice in Wonderland,PG
Oz the Great and Powerful,PG
TRON: Legacy,PG
Foodfight!,PG
The Blade Master,PG
A Christmas Carol,PG
The Good Dinosaur,PG
Brave,PG
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",PG
Maleficent,PG
Hugo,PG
The Jungle Book,PG
Monsters vs. Aliens,PG
Evan Almighty,PG
Tomorrowland,PG
Alice Through the Looking Glass,PG
Shrek Forever After,PG
Big Hero 6,PG
Wreck-It Ralph,PG
Shrek the Third,PG
The Sorcerer's Apprentice,PG
The Chronicles of Narnia: The Voyage of the Dawn Treader,PG
Frozen,PG
Santa with Muscles,PG
Charlie and the Chocolate Factory,PG
Madagascar: Escape 2 Africa,PG
Night at the Museum: Battle of the Smithsonian,PG
Kung Fu Panda 2,PG
The Last Airbender,PG
Bee Movie,PG
G-Force,PG
Boggy Creek II: And the Legend Continues,PG
Bolt,PG
Pan,PG
Mars Needs Moms,PG
Flushed Away,PG
Madagascar 3: Europe's Most Wanted,PG
How to Train Your Dragon 2,PG
Mr. Peabody & Sherman,PG
Rise of the Guardians,PG
Kung Fu Panda 3,PG
